date,Hospitalized Census 5%,Hospitalized Census 25%,Hospitalized Census Median,Hospitalized Census 75%,Hospitalized Census %95,ICU Census 5%,ICU Census 25%,ICU Census Median,ICU Census 75%,ICU Census %95,Vent Census 5%,Vent Census 25%,Vent Census Median,Vent Census 75%,Vent Census %95,Hospitalized Admits 5%,Hospitalized Admits 25%,Hospitalized Admits Median,Hospitalized Admits 75%,Hospitalized Admits %95,ICU Admits 5%,ICU Admits 25%,ICU Admits Median,ICU Admits 75%,ICU Admits %95,Vent Admits 5%,Vent Admits 25%,Vent Admits Median,Vent Admits 75%,Vent Admits %95
2020-05-17,11.4431937571,15.3797615755,18.9022775117,23.1043079183,29.932189252,1.8918888038000001,3.9880622321,5.9673075692,8.29556167575,11.7264639114,2.8005378365,4.3686802912000005,5.8081998345,7.6656619982,10.272288019774972,0,1,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-05-18,11.0179919426,15.1021602858,18.3695095019,22.7386219109,29.111135086699996,1.7245483593,3.83146482015,5.84003478055,8.0473805339,12.017783390529992,2.5774298546,4.2598841603,5.7409930647,7.5688634412999996,10.280736487,0,1,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-05-19,10.579470504,14.6621384305,17.8413787264,22.5173503833,29.1773763333,1.7219231726,3.6735696137,5.6602980723,7.9523900132000005,11.3359896399,2.5331370634,4.1145762176,5.5078190362,7.2578771473,10.0973818432,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-05-20,10.0289521587,14.1444821877,17.5321795804,21.9625318374,28.6936298496,1.616000209,3.5091358886,5.4332744497,7.7334986647,11.2611550746,2.468121089885001,3.9131343477,5.3537995651,7.0987549348,10.0739431793,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-05-21,9.6749478785,13.8851874978,17.0535918187,21.590331559,28.0345891628,1.4594534673,3.5245552373,5.3179618295,7.5031157799,11.0779528046,2.3041099625,3.8342661126,5.2260827809,6.986367990325,9.9613555551,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-05-22,9.3639661042,13.3619950217,16.9096419495,21.3451141597,28.1804634109,1.5054342906,3.3180503104,5.2272178273,7.2111546926,11.1425330109,2.167788829,3.743929601,5.1280071172,6.7644063542,9.6445519888,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-05-23,8.857894588,13.0102476271,16.5221405354,20.8883148268,27.6709121207,1.5162777063,3.3216304508,5.0040533088,7.1361958842,10.9401679341,2.083676989295001,3.6179011285,4.9911345523,6.6695446515,9.49027979921992,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-05-24,8.3563801133,12.5589824679,16.1355293952,20.5113545996,27.662154642774908,1.4034065279,3.2416822709,4.9540354469,7.1086029558,10.5939666036,2.0104977675,3.5277576872000003,4.8648806015,6.5925035943,9.2766764895,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-05-25,7.9843467942,12.1376872288,15.8523503054,20.180169611,28.0593972045,1.280435397,3.157011663,4.8972950357,6.8259194353,10.6135522661,1.8793134753,3.4398755698,4.8586266039,6.4936476569,9.4685718938,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-05-26,7.5025096926,11.8489096693,15.337608189400001,19.793510741,27.26862798007987,1.2318208727,3.0836647448,4.8155526079,6.7831576336,10.4834652033,1.8067835435,3.3079189881,4.7604585215,6.4522418815,9.3051511071,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
